date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:55	115944/115944	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2018:09:22%20GMT	https://cis.wakavaping.com/cdn/s/trekkie.storefront.dd626a6a6fbdab104f8779acc4331c330134c832.min.js	E:/waka/cis.wakavaping.com/cdn/s/trekkie.storefront.dd626a6a6fbdab104f8779acc4331c330134c832.min.js	(from https://cis.wakavaping.com/)
14:48:55	8298/8298	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2014%20May%202024%2000:13:02%20GMT	https://cis.wakavaping.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	E:/waka/cis.wakavaping.com/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://cis.wakavaping.com/)
14:48:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:56%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/sprites-misc-sprites.png?v=135003683205307341771705510222	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/sprites-misc-sprites46fd.png	(from https://cis.wakavaping.com/)
14:48:56	62653/62653	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2020:25:36%20GMT	https://cis.wakavaping.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	E:/waka/cis.wakavaping.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://cis.wakavaping.com/)
14:48:57	6083/6083	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:48:57%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/sprites-misc-sprites.png?v=135003683205307341771705510222	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/sprites-misc-sprites46fd.png	(from https://cis.wakavaping.com/)
14:48:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:57%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/sprites-misc-sprites2x.png?v=124375785445790337731705510222	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/sprites-misc-sprites2x115c.png	(from https://cis.wakavaping.com/)
14:48:57	13522/13522	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:48:57%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/sprites-misc-sprites2x.png?v=124375785445790337731705510222	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/sprites-misc-sprites2x115c.png	(from https://cis.wakavaping.com/)
14:48:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:48:57%20GMT	http://cis.wakavaping.com/cdn/shop/files/Warning_Banner__1_1f2ee220-0dc1-49d7-9275-466bb79c05c4_96x.png?v=1709840750	E:/waka/cis.wakavaping.com/cdn/shop/files/Warning_Banner__1_1f2ee220-0dc1-49d7-9275-466bb79c05c4_96x4b68.png	(from https://cis.wakavaping.com/)
14:48:58	1943/1943	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:48:58%20GMT	https://cis.wakavaping.com/cdn/shop/files/Warning_Banner__1_1f2ee220-0dc1-49d7-9275-466bb79c05c4_96x.png?v=1709840750	E:/waka/cis.wakavaping.com/cdn/shop/files/Warning_Banner__1_1f2ee220-0dc1-49d7-9275-466bb79c05c4_96x4b68.png	(from https://cis.wakavaping.com/)
14:48:59	355473/355473	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:c00bb9cec8fb45f152f3c1c4018cdcab%22	https://cis.wakavaping.com/products/sopro-pa10000	E:/waka/cis.wakavaping.com/products/sopro-pa10000.html	(from https://cis.wakavaping.com/)
14:48:59	314086/314086	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:97337183a472c48f1cb22c3173030b24%22	https://cis.wakavaping.com/products/waka-sopro-pa7000	E:/waka/cis.wakavaping.com/products/waka-sopro-pa7000.html	(from https://cis.wakavaping.com/)
14:48:59	397641/397641	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:b47204d53576a59ce2f2f3791215f5b8%22	https://cis.wakavaping.com/products/waka-smash	E:/waka/cis.wakavaping.com/products/waka-smash.html	(from https://cis.wakavaping.com/)
14:49:00	332688/332688	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:3406e1965fc7a45ec2bbdf89c5981eda%22	https://cis.wakavaping.com/products/waka-sopro-dm8000i	E:/waka/cis.wakavaping.com/products/waka-sopro-dm8000i.html	(from https://cis.wakavaping.com/)
14:49:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:00%20GMT	http://cis.wakavaping.com/cdn/shop/products/Side.png?v=1708675017	E:/waka/cis.wakavaping.com/cdn/shop/products/Sidecb89.png	(from https://cis.wakavaping.com/)
14:49:02	350173/350173	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:42def550bc1fe546c536d0ae0c7373ff%22	https://cis.wakavaping.com/products/sopro-dm8000	E:/waka/cis.wakavaping.com/products/sopro-dm8000.html	(from https://cis.wakavaping.com/)
14:49:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:03%20GMT	http://cis.wakavaping.com/cdn/shop/files/8000idevicepcblue.png?v=1713170075	E:/waka/cis.wakavaping.com/cdn/shop/files/8000idevicepcblue4503.png	(from https://cis.wakavaping.com/)
14:49:03	211254/211254	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:49:02%20GMT	https://cis.wakavaping.com/cdn/shop/products/Side.png?v=1708675017	E:/waka/cis.wakavaping.com/cdn/shop/products/Sidecb89.png	(from https://cis.wakavaping.com/)
14:49:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:03%20GMT	http://cis.wakavaping.com/cdn/shop/files/1_7785af17-e2fa-4ed8-94e5-9d9890107dde.png?v=1705510924	E:/waka/cis.wakavaping.com/cdn/shop/files/1_7785af17-e2fa-4ed8-94e5-9d9890107dde1b28.png	(from https://cis.wakavaping.com/)
14:49:04	277393/277393	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2007:30:14%20GMT	https://cis.wakavaping.com/cdn/shop/files/8000idevicepcblue.png?v=1713170075	E:/waka/cis.wakavaping.com/cdn/shop/files/8000idevicepcblue4503.png	(from https://cis.wakavaping.com/)
14:49:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:05%20GMT	http://cis.wakavaping.com/cdn/shop/files/Purple_front.png?v=1713169391	E:/waka/cis.wakavaping.com/cdn/shop/files/Purple_front5b70.png	(from https://cis.wakavaping.com/)
14:49:06	109425/109425	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:49:05%20GMT	https://cis.wakavaping.com/cdn/shop/files/1_7785af17-e2fa-4ed8-94e5-9d9890107dde.png?v=1705510924	E:/waka/cis.wakavaping.com/cdn/shop/files/1_7785af17-e2fa-4ed8-94e5-9d9890107dde1b28.png	(from https://cis.wakavaping.com/)
14:49:07	177523/177523	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:e6d065f2171782a643a8b6e407748234%22	https://cis.wakavaping.com/pages/dualmesh	E:/waka/cis.wakavaping.com/pages/dualmesh.html	(from https://cis.wakavaping.com/)
14:49:07	5825402/5825402	---M--	200	added ('OK')	image/png	date:Wed,%2022%20May%202024%2001:37:14%20GMT	https://cis.wakavaping.com/cdn/shop/files/Purple_front.png?v=1713169391	E:/waka/cis.wakavaping.com/cdn/shop/files/Purple_front5b70.png	(from https://cis.wakavaping.com/)
14:49:08	149931/149931	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:da9d8a8e17fc85312286bae85f5c4e09%22	https://cis.wakavaping.com/pages/about-waka	E:/waka/cis.wakavaping.com/pages/about-waka.html	(from https://cis.wakavaping.com/)
14:49:08	201387/201387	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:b7719b28f4477508c7f9aec5034887e3%22	https://cis.wakavaping.com/pages/partnership-opportunity	E:/waka/cis.wakavaping.com/pages/partnership-opportunity.html	(from https://cis.wakavaping.com/)
14:49:09	139926/139926	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:47171e1ce3ebbbdb89f50e319ade8cee%22	https://cis.wakavaping.com/pages/contact	E:/waka/cis.wakavaping.com/pages/contact.html	(from https://cis.wakavaping.com/)
14:49:09	157260/157260	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:2c8eba9e179668ef7fb59137167e40ee%22	https://cis.wakavaping.com/blogs/instruction	E:/waka/cis.wakavaping.com/blogs/instruction.html	(from https://cis.wakavaping.com/)
14:49:09	162417/162417	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:0e1f794d34526834a5c6a4321b6a2963%22	https://cis.wakavaping.com/pages/verify	E:/waka/cis.wakavaping.com/pages/verify.html	(from https://cis.wakavaping.com/)
14:49:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:09%20GMT	http://cis.wakavaping.com/cdn/shop/files/smash-removebg-preview_b649d0e2-ca61-461f-9077-008fc06d1eb6.png?v=1713927371	E:/waka/cis.wakavaping.com/cdn/shop/files/smash-removebg-preview_b649d0e2-ca61-461f-9077-008fc06d1eb62bd7.png	(from https://cis.wakavaping.com/)
14:49:11	108379/108379	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:49:11%20GMT	https://cis.wakavaping.com/cdn/shop/files/smash-removebg-preview_b649d0e2-ca61-461f-9077-008fc06d1eb6.png?v=1713927371	E:/waka/cis.wakavaping.com/cdn/shop/files/smash-removebg-preview_b649d0e2-ca61-461f-9077-008fc06d1eb62bd7.png	(from https://cis.wakavaping.com/)
14:49:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:11%20GMT	http://cis.wakavaping.com/cdn/shop/files/4_abd7ddf9-8b84-4368-98c4-580ea38d687a.png?v=1705511190	E:/waka/cis.wakavaping.com/cdn/shop/files/4_abd7ddf9-8b84-4368-98c4-580ea38d687a0a39.png	(from https://cis.wakavaping.com/)
14:49:13	357398/357398	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:c7073e4338af7a4c519c7e6dea3c47e7%22	https://cis.wakavaping.com/products/sofit-fa4000	E:/waka/cis.wakavaping.com/products/sofit-fa4000.html	(from https://cis.wakavaping.com/)
14:49:14	233956/233956	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:49:13%20GMT	https://cis.wakavaping.com/cdn/shop/files/4_abd7ddf9-8b84-4368-98c4-580ea38d687a.png?v=1705511190	E:/waka/cis.wakavaping.com/cdn/shop/files/4_abd7ddf9-8b84-4368-98c4-580ea38d687a0a39.png	(from https://cis.wakavaping.com/)
14:49:15	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:14%20GMT	http://cis.wakavaping.com/cdn/shop/files/Solo2.png?v=1713171679	E:/waka/cis.wakavaping.com/cdn/shop/files/Solo28c50.png	(from https://cis.wakavaping.com/)
14:49:15	348996/348996	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:b190a1109e48cb032a2a62f7965b5441%22	https://cis.wakavaping.com/products/solo2	E:/waka/cis.wakavaping.com/products/solo2.html	(from https://cis.wakavaping.com/)
14:49:15	2205444/2205444	---M--	200	added ('OK')	image/png	date:Fri,%2017%20May%202024%2010:03:32%20GMT	https://cis.wakavaping.com/cdn/shop/files/Solo2.png?v=1713171679	E:/waka/cis.wakavaping.com/cdn/shop/files/Solo28c50.png	(from https://cis.wakavaping.com/)
14:49:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:16%20GMT	http://cis.wakavaping.com/cdn/shop/files/1111.png?v=1705510841	E:/waka/cis.wakavaping.com/cdn/shop/files/11116923.png	(from https://cis.wakavaping.com/)
14:49:17	326192/326192	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:2466ec27b12e4da9f858095b3e219799%22	https://cis.wakavaping.com/products/waka-sofit-fa1000	E:/waka/cis.wakavaping.com/products/waka-sofit-fa1000.html	(from https://cis.wakavaping.com/)
14:49:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:17%20GMT	http://cis.wakavaping.com/cdn/shopifycloud/shopify/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_1428x.gif	E:/waka/cis.wakavaping.com/cdn/shopifycloud/shopify/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_1428x.gif	(from https://cis.wakavaping.com/)
14:49:18	130233/130233	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:49:17%20GMT	https://cis.wakavaping.com/cdn/shop/files/1111.png?v=1705510841	E:/waka/cis.wakavaping.com/cdn/shop/files/11116923.png	(from https://cis.wakavaping.com/)
14:49:19	14170/14170	---M--	200	added ('OK')	image/gif	date:Mon,%2013%20May%202024%2022:27:02%20GMT	https://cis.wakavaping.com/cdn/shopifycloud/shopify/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_1428x.gif	E:/waka/cis.wakavaping.com/cdn/shopifycloud/shopify/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_1428x.gif	(from https://cis.wakavaping.com/)
14:49:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:19%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/third-plugin.min.js?v=50323625155107980821705510232	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/third-plugin.min293d.js	(from https://cis.wakavaping.com/)
14:49:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:21%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/swiper.min.css?v=175802948729215579431705510225	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/swiper.minef4a.css	(from https://cis.wakavaping.com/)
14:49:21	204603/204603	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2009%20May%202024%2003:11:49%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/third-plugin.min.js?v=50323625155107980821705510232	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/third-plugin.min293d.js	(from https://cis.wakavaping.com/)
14:49:21	13300/13300	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20May%202024%2018:10:00%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/swiper.min.css?v=175802948729215579431705510225	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/swiper.minef4a.css	(from https://cis.wakavaping.com/)
14:49:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:21%20GMT	http://cis.wakavaping.com/cdn/shop/t/2/assets/slideshow-banner-index.min.css?v=12426735759954157921705510205	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/slideshow-banner-index.min4730.css	(from https://cis.wakavaping.com/)
14:49:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:23%20GMT	http://cis.wakavaping.com/cdn/shop/files/soPro_PA10000_KV-Simplify-Horizontal-01_96x.png?v=1713243512	E:/waka/cis.wakavaping.com/cdn/shop/files/soPro_PA10000_KV-Simplify-Horizontal-01_96x55a3.png	(from https://cis.wakavaping.com/)
14:49:23	6454/6454	---MCZ	200	added ('OK')	text/css	date:Mon,%2013%20May%202024%2022:05:56%20GMT	https://cis.wakavaping.com/cdn/shop/t/2/assets/slideshow-banner-index.min.css?v=12426735759954157921705510205	E:/waka/cis.wakavaping.com/cdn/shop/t/2/assets/slideshow-banner-index.min4730.css	(from https://cis.wakavaping.com/)
14:49:24	13882/13882	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2011:49:24%20GMT	https://cis.wakavaping.com/cdn/shop/files/soPro_PA10000_KV-Simplify-Horizontal-01_96x.png?v=1713243512	E:/waka/cis.wakavaping.com/cdn/shop/files/soPro_PA10000_KV-Simplify-Horizontal-01_96x55a3.png	(from https://cis.wakavaping.com/)
14:49:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20May%202024%2011:49:24%20GMT	http://cis.wakavaping.com/cdn/shop/files/clean_96x.jpg?v=1705511570	E:/waka/cis.wakavaping.com/cdn/shop/files/clean_96x3139.jpg	(from https://cis.wakavaping.com/)
